session,is_bot,prolific_id,id_in_session,idx,round_number,multiplier,disclose,contribution,rt1,rt2,reward,payoff,total,individual_share,opp_multiplier,opp_disclose,opp_p_disclose,opp_contribution,opp_payoff,total_contribution
ptbjggy9,0,611d7ad4c5425e3bb32b3d84,1,0,1,1.5,0,6,13687,12153,18.0,18.0,18.0,14.0,2.5,1,0.5,8,14.0,29.0
ptbjggy9,0,138E0Tj3d2609Z9LD96n5O67,2,1,1,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
ptbjggy9,0,607a3daa5e5eefa6a427b054,3,2,1,1.5,1,8,8000,7827,18.0,18.0,18.0,18.0,2.5,0,0.5,10,18.0,37.0
ptbjggy9,0,5ebc691f6719a80b580d57fc,4,3,1,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
ptbjggy9,0,63984fd9edda7b421b2566c3,5,4,1,1.5,1,5,7025,8675,13.0,13.0,13.0,10.0,1.5,1,0.5,8,10.0,19.5
ptbjggy9,0,5f1023b8978b91000a42e92b,6,5,1,1.5,0,10,13662,20571,18.0,18.0,18.0,18.0,2.5,1,0.5,8,18.0,35.0
ptbjggy9,0,6017a331ea0a0b2f98bc94cf,7,6,1,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
ptbjggy9,0,61054d9e01155b7e94f9652f,8,7,1,1.5,0,6,3842,11930,21.0,21.0,21.0,17.0,2.5,0,0.5,10,17.0,34.0
ptbjggy9,0,5efc46986745e620cf77d541,9,8,1,1.5,0,10,12974,7514,20.0,20.0,20.0,20.0,2.5,0,0.5,10,20.0,40.0
ptbjggy9,0,6141da94f660cbeb94d51c32,10,9,1,1.5,1,4,28263,17647,7.0,7.0,7.0,3.0,1.5,0,0.5,0,13.0,6.0
ptbjggy9,1,615bc62f5029b0346f4ece99,11,10,1,1.5,0,6,12758,16709,16.0,16.0,16.0,12.0,1.5,0,0.5,10,12.0,24.0
ptbjggy9,1,5db85ef927db78000dcd3d5c,12,11,1,1.5,0,8,11431,18752,18.0,18.0,18.0,16.0,2.5,1,0.5,8,16.0,32.0
ptbjggy9,0,5e688b541b3dbf12adf3d94e,13,12,1,1.5,1,6,13308,12684,19.0,19.0,19.0,17.0,2.5,0,0.5,10,17.0,34.0
ptbjggy9,0,617305abc8cde4cf0e08255b,14,13,1,1.5,0,4,16085,32857,9.0,9.0,9.0,3.0,1.5,1,0.5,0,11.0,6.0
ptbjggy9,0,610a9f8ba0cf35614ecb2a8d,15,14,1,1.5,1,8,11498,7148,6.0,6.0,6.0,6.0,1.5,1,0.5,0,14.0,12.0
ptbjggy9,0,,16,15,1,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
ptbjggy9,0,,17,16,1,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
ptbjggy9,0,,18,17,1,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
ptbjggy9,0,,19,18,1,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
ptbjggy9,0,,20,19,1,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
ptbjggy9,0,,21,20,1,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
ptbjggy9,0,,22,21,1,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
ptbjggy9,0,,23,22,1,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
ptbjggy9,0,,24,23,1,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
ptbjggy9,0,,25,24,1,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
ptbjggy9,0,,26,25,1,2.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
ptbjggy9,0,,27,26,1,2.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
ptbjggy9,0,,28,27,1,2.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
ptbjggy9,0,,29,28,1,2.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
ptbjggy9,0,,30,29,1,2.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
ptbjggy9,0,,31,30,1,2.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
ptbjggy9,0,,32,31,1,2.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
ptbjggy9,0,,33,32,1,2.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
ptbjggy9,0,,34,33,1,2.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
ptbjggy9,0,,35,34,1,2.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
